Program,Round,Project Number,Project Title,Project Description,Field of Research (FOR) - Level 1 Division Code,FOR - Level 1 Division Title,FOR - Level 2 Group Code,FOR - Level 2 Group Title,FOR - Level 3 Class Code,FOR - Level 3 Class Title,FOR - Level 4 Sub-Class Code,FOR - Level 4 Sub-Class Title,Lead Research Institution,Institution Type,City,Approval Date,Fiscal Year,Ontario Commitment,Total Project Costs,Salutation,First Name,Middle Name,Last Name,Expenditure Type,Language,Keywords,population,per_capita_funding
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,39845,Equipment to support research in aquatic neurophysiology,"The objective of this proposal is to support aquatic ecotoxicology research on how contaminants affect olfaction and behaviour in fish. Specifically, it will determine if increased CO2 in aquatic systems from fossil fuel usage is modifying the toxicity of contaminants.",RDF10,Natural sciences,RDF105,Earth & related environmental sciences,RDF10510,Natural Environment  Sciences,RDF1051010,Ecotoxicology,Algoma University,University,Sault Ste. Marie,2024-05-31 00:00:00 UTC,2024-25,30677,76693,Dr.,William,null,Dew,Capital,English,"ecotoxicology, nerophysiology, olfaction, aquatic, fish, climate change",88334,0.347284171
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,40794,Bioprospecting in Northern Ontario for health beneficial compounds,"Discovering novel natural health beneficial compounds in unique microalgae bioprospected from Northern Ontario to address our urgent need for completely new sources of disease fighting compounds, including antioxidant, antibacterial, anticancer and antiviral agents.",RDF20-21,Engineering and Technology,RDF209,Environmental Biotechnology,RDF20901,Environmental Biotechnology,RDF2090101,Biodiscovery,Laurentian University,University,Sudbury,2024-05-31 00:00:00 UTC,2024-25,117932,294794,Dr.,John,null,Scott,Capital,English,"Bioprospecting, natural products, disease fighting, antioxidants, anticancer, antibiotic, antiviral",192688,0.612036038
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,41744,Improving Collaboration Efficiency for Fork-based Software Development,"While many software companies now offer remote work, geographic distance profoundly affects the ability to collaborate and can lead to numerous challenges. The proposed research will develop new theories and tool-based interventions to improve collaboration efficiency for distributed software teams.",RDF10,Natural sciences,RDF102,Computer and information sciences,RDF10203,Programming Languages and Software Engineering,RDF1020399,"Programming language and software engineering, n.e.c",University of Toronto,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,80000,200000,Dr.,Shurui,null,Zhou,Capital,English,"Software engineering, collaborative software development, open source software, fork-based development",7109866,0.01125197
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,43708,Developing a Centre for Real-world Evidence to improve the use of medications for Canadians,The Centre for Real-World Evidence will develop big data infrastructure and capacity to evaluate priority pharmaceutical policy issues identified by policymakers and patients in Ontario and across Canada. This will bring together stakeholders and create new job opportunities for Ontarians.,RDF30,"Medical, health and life sciences",RDF303,Health sciences,RDF30304,Health services and systems,RDF3030499,"Health services and systems, n.e.c.",University of Toronto,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,110000,277351,Dr.,Mina,null,Tadrous,Capital,English,"Big Data, Real-world evidence, pharmaceuticals, pharmaceutical policy, healthservices",7109866,0.015471459
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,43972,"Healthy Aging Lab: Uncovering the relationship between mobility, cognition, and brain health","This project will further our understanding of the complex relationship between cognition, mobility, and brain health in older adults to mitigate decline and promote healthy aging. With this infrastructure, Dr. Nagamatsu will lead a world-class research space for integrative assessment and exercise training for older adults.",RDF30,"Medical, health and life sciences",RDF303,Health sciences,RDF30399,Other health sciences,RDF3039999,"Other health sciences, n.e.c.",Western University,University,London,2024-05-31 00:00:00 UTC,2024-25,231321,578304,Dr.,Lindsay,null,Nagamatsu,Capital,English,"Aging, neuroscience, mobility, exercise interventions, physiological and metabolic assessments",626875,0.36900658
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,43981,Attosecond X-ray Photonics,"This research program will establish, in Ontario, the world’s first X-ray Free-Electron Laser-like table-top attosecond X-ray source spanning soft and tender spectral range, allowing every atom on the periodic table to be differentiated by attosecond X-ray spectroscopy for the first time in university laboratories.",RDF10,Natural sciences,RDF103,Physical sciences,RDF10303,"Atomic, molecular, and optical physics",RDF1030303,Lasers and quantum electronics,University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,800000,2000000,Dr.,Zenghu,null,Chang,Capital,English,"Attosecond science and technology, Time-resolved X-ray spectroscopy, Chargetransfer dynamics, Charge migration in molecules, Photovoltaic materials",1291272,0.619544139
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,43982,Genomic and spatial data to understand the distributions of and protect at-risk species under global change,"This research program makes use of extensive field surveys, spatial data and habitat modeling, and cutting-edge genomic methods for non-model organisms to advance our fundamental understanding of species’ distributions and the response of species to global change, and to aid in the protection and recovery of at-risk species.",RDF10,Natural sciences,RDF106,Biological sciences,RDF10603,Ecology,RDF1060310,Evolutionary ecology,University of Ottawa,University,Ottawa,2024-05-31 00:00:00 UTC,2024-25,189999,474999,Dr.,Julie,null,Lee-Yaw,Capital,English,"Range limits, geographic distributions, conservation genomics, evolutionaryecology, adaptation, amphibians",1291272,0.147140959
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,43991,Quantitative Risk Management Lab,"The proposed research program will improve society's understanding and mitigation of risks by advancing the theory and quantitative methods for critical risk management challenges in finance, economics, and natural sciences, and developing techniques for statistical inference, risk assessment, optimization, economics, and dependence modeling",RDF10,Natural Science,RDF101,Mathematics and Statistics,RDF10103,Statistics,RDF1010308,Actuarial science and mathematical finance,University of Waterloo,University,Waterloo,2024-05-31 00:00:00 UTC,2024-25,80000,639708,Dr.,Ruodu,null,Wang,Capital,English,"finance, statistics, actuarial science, operations research decision theory, riskmeasures, e-values, mass transport, dependence modeling, data science",699402,0.11438343
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,43994,Mathematical Foundations of Data Science,"This project will build the Mathematical Foundations of Data Science lab and provide necessary computational and videoconferencing equipment. With these resources, the Pl will tackle a broad range of problems, from explaining the power of neural networks to determining the computational complexity of statistical tasks.",RDF10,Natural Sciences,RDF101,Mathematics and Statistics,RDF10103,Statistics,RDF1010312,Probability Theory,University of Waterloo,University,Waterloo,2024-05-31 00:00:00 UTC,2024-25,80000,626174,Dr.,Aukosh,null,Jagannath,Capital,English,"Mathematical Foundations of Data Science, Probability, High-dimensionalStatistics, Machine Learning, Optimization, Computational Aspects of Statistics",699402,0.11438343
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44011,Can Gait Identify and Predict Brain Health?,"Dr. Ehgoetz Martens' research aims to unravel the complexity of walking patterns to leverage gait as a powerful biomarker to predict future neurodegeneration. This work will catalyze early diagnosis, improve clinical trial enrollment, and create opportunities for therapeutic intervention to halt the progression of neurodegeneration.",RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30104,"Neurosciences, medical and physiological and health aspects",RDF3010414,Neurodegeneration,University of Waterloo,University,Waterloo,2024-05-31 00:00:00 UTC,2024-25,100000,250000,Dr.,Kaylena,null,Ehgoetz Martens,Capital,English,"gait, neurodegeneration, freezing of gait, Parkinson's disease, kinematics, brain imaging, virtual reality, cognition",699402,0.142979288
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44033,"CRC in Sex, Gender, and Diversity in Brain Health, Memory, and Aging","Dr. Rajah’s innovative cognitive neuroscience research program engages participants from diverse backgrounds in neuroimaging, behavioral, physiological and genetic studies to create more inclusive models of cognitive brain aging, enrich our understanding of midlife brain health, and support early detection and prevention of Alzheimer’s disease.",RDF5010210,"Memory (including episodic and semantic memory, and working memory)",RDF3030208,Aging process,RDF1061107,Neurocognitive patterns and neural networks,null,null,Toronto Metropolitan University,University,Toronto,2024-05-31 00:00:00 UTC,2024-25,152000,442926,Dr.,Natasha,Maria,Rajah,Capital,English,"Cognitive Neuroscience, Memory, Aging, Dementia Prevention and Sex,Gender, and Diversity in Brain Health",7109866,0.021378743
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44039,Gas flux instrumentation for novel investigations of the plant-soil-atmosphere continuum in agroecosystems,"I will use portable field-ready instrumentation to quantify exchange of carbon and nitrogen of plants, soil, and the atmosphere in agricultural systems. My objective is to understand and inform precision management practices that tighten the loop of nutrients to improve farm efficiencies and protect the environment.",RDF10,Natural Sciences,RDF10511,Soil Sciences,RDF1051107,Soil-root interactions,null,null,Trent University,University,Peterborough,2024-05-31 00:00:00 UTC,2024-25,113737,284893,Dr.,Kira,null,Borden,Capital,English,"portable laboratory, plant functional traits, root-soil interactions, carbonsequestration, greenhouse gas emissions, nutrient management, climatechange",140630,0.808767688
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44049,Facility for Research on Affordable and Sustainable Housing using Construction Printing Technology,"The research to be enabled by the requested infrastructure will lead to greater automation in the construction industry through the use of novel 3D construction printing technology. This research will develop cheaper and environmentally friendly printing materials for affordable, safe and environmentally sustainable home construction.",RDF20-21,Engineering and technology,RDF201,"Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101,Civil engineering,RDF2010103,"Concrete, cementitious materials and other architectural and construction m",University of Windsor,University,Windsor,2024-05-31 00:00:00 UTC,2024-25,139369,415986,Dr.,Sreekanta,null,Das,Capital,English,"Housing Crisis, Affordable and Sustainable Housing, Use of Recycled Materials,Reduction of Greenhouse Gas Emissions, Minimizing Landfill Problems,Training HQP",484698,0.287537807
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 058 - 2023 - June,44077,Gas Chromatography-Mass Spectrometry (GC-MS) System for Functional Genomics of Plant Lipid Metabolism,"The infrastructure requested will enable research to find innovative strategies to improve crop drought tolerance, to develop carbon-neutral substitutes to fossil fuel-based resources, and to uncover the biosynthetic machineries required to engineer plants or microorganisms that accumulate renewable industrial oleochemicals.",RDF1040307,Organic catalysis and mechanisms of reactions,RDF1060111,Synthetic biology,RDF1060102,"Enzymes (including kinetics and mechanisms, and biocatalyst)",null,null,Algoma University,University,Sault Ste. Marie,2024-05-31 00:00:00 UTC,2024-25,93806,284071,Dr.,Isabel,M.,Molina,Capital,English,"Plant lipid biotechnology, mutant plants, renewable lipid polymers, crop stress resistance, protective lipids, cuticle, suberin, waxes, enzymology, gas chromatography-mass spectrometry",88334,1.061946702
